Date,Country,Local,Industry,Accident_level,Pot_acc_level,Gender,Emp_type,Critical_risk,Description,Day,Month,Year,Weekday
2016-04-26,country_02,local_05,metals,1,2,female,third party,cut,the injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,26,4,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81A48>
2016-04-28,country_02,local_05,metals,1,3,male,third party (remote),chemical substances,"after discharging sodium hydroxide and disconnecting the hose, the employee placed next to the demineralization suction pump, which was turned off, receiving projection from the pump sensor, causing a 1st degree burn.",28,4,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81AC8>
2016-04-29,country_01,local_04,mining,3,4,male,third party,others,"mr. jesus operator of the concrete throwing team (alpha n ° 18) was shooting shotcrete in the cx work. 001 nv. 1710 ob1. applying 0.5 m3, he realizes that the additive did not come out in the mix, directing to lift the cover of the passage valve (54 cm x 53 cm of ¼ inch of thickness approximately 15 kg). verifying that the valve was open, release the lid and it hits to the third finger of the left hand against the base, causing the injury.",29,4,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81B48>
2016-04-30,country_02,local_05,metals,1,4,male,employee,pressed,"the employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",30,4,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81BC8>
2016-04-30,country_01,local_01,mining,1,2,male,employee,others,"the injured worker begins the work of presenting the support mesh cloth on the floor, making an initial cut in the mesh of a section of 0.3 m x 2.0 m for the ponchos, originating in the remaining mesh wicks (tips with prongs) protruding. when trying to make a second mesh cut, it is positioned at the edge of the remaining mesh with wicks to prevent them from curling, at which point it tries take your shear and remove the right foot of the mesh causing the mesh to roll up and embed a wick (tip with poles) through the left boot causing the injury. at the time of the accident the worker was wearing safety boots.",30,4,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81C48>
2016-04-30,country_01,local_03,mining,4,4,male,third party,others,"in the ddh chamber of the company explomin, located at the level -100 socorro ramp 334, when the worker - assistant driller-was dismantling the fifth drill rod (nq - 3 meters of steel with a weight of 24 kg) , using a stilson key (no. 18), at that moment the operator operates the rotation unit, the drill rod rotates by pressing the left hand of the worker against the base of the rod holder, causing an injury to the left hand. at the time of the accident, the drilling assistant used rubber gloves",30,4,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81CC8>
2016-05-01,country_01,local_04,mining,1,4,male,third party,others,"when carrying out the maneuver to increase the hq pipe line, the driller wilder indicates the assistant gilton introduce the inner pipe to the drill, the assistant introduces the inner pipe and places his hand in the box of the pipe, while the driller without noticing, he moves the pipe over the assistant's hand and opens the chuck of the rotation unit, dropping the pipe, imprisoning the injured person's right hand causing the injury.",1,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81D48>
2016-05-02,country_02,local_05,metals,1,4,female,third party (remote),chemical substances,the employee reports that climbing the access ladder to the operating room of the ustulation was surprised by the projection of sulfuric acid.,2,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81DC8>
2016-05-04,country_03,local_10,others,1,1,male,third party,manual tools,"when performing geological mapping activity, it was necessary to hammer a rock for analysis, at the moment when the clerk held it, a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut.",4,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81E48>
2016-05-03,country_01,local_04,mining,2,4,male,third party,others,"being 04:20 p.m. approximately, in the nv. 1880, cx-781. mr. kevin helper of jumbo 55, removed the drill rod that was in the drilling hole, instants that breaks the chain of subjection of the table of the drilling machine, sliding down achieving rubbing the index finger of the left hand, causing the injury.",3,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81EC8>
2016-05-04,country_01,local_04,mining,1,3,male,employee,others,"being 11:30 am. approximately, in the nv. 1940, cx-791. mr. francisco - operator of the scoop 18, observes a polyethylene pipe thrown on the road, proceeding to lower his equipment and when was found by lifting the pipe to the hook of the right gable, a piece of rock that was suspended in the lectro-welded mesh, impacting on the operator's right eyebrow, causing the injury.",4,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A81F48>
2016-05-04,country_02,local_05,metals,1,3,female,third party (remote),chemical substances,"when conducting inspection to evaluate activity to be carried out in the pump house of the ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler.",4,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85F48>
2016-05-04,country_02,local_05,metals,1,3,male,third party (remote),chemical substances,"when conducting inspection to evaluate activity to be carried out in the pump house of the ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps.",4,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85EC8>
2016-05-05,country_02,local_05,metals,1,3,male,third party,manual tools,"the employee was sanding a piece in the electrolysis at the end of the operation, when the protective cap of the disk spun to the back of the left hand.",5,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85E48>
2016-05-05,country_02,local_08,metals,1,2,male,third party (remote),manual tools,"during the die cutting of the feeder (pead geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury.",5,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85DC8>
2016-05-11,country_01,local_03,mining,1,3,male,third party,others,"in the welding workshop of level 3620 (ex -450 tunnel quinoa), in moments that the assistant raised a wooden strut - 3m long x 4 ""diameter - 20 kg of weight, to place it on the work table at 1.30 m of height, treads another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on the left shoulder.",11,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85D48>
2016-05-12,country_01,local_06,metals,1,2,male,third party (remote),chemical substances,"on sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. when leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; at that moment, skin contact occurs with sulfates, generating the lesion.",12,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85CC8>
2016-05-11,country_01,local_01,mining,1,4,male,third party,others,"in moments that the truck of transport of personnel of the company mceisa plate ajg-751, moved from the nv 3300 to surface, missing 50m to reach the mouth of the nv 3900, the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who at that time i was traveling in the truck. they raise the cabin to manually put the change in first and continue the trip, culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight falls hitting the driver between the cabin and the hopper of the truck. at the time of the accident the employee was wearing his safety helmet and chin strap.",11,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85C48>
2016-05-14,country_01,local_01,mining,1,4,male,third party,others,"after completing the welding work on the backhoe bucket made for 4 hours, during which he used glass moon # 10, the welder feels a slight discomfort in the eyes, so he is transferred to the medical service for evaluation . during the accident the welder used facial mask for welding.",14,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85BC8>
2016-05-17,country_01,local_11,others,1,2,male,employee,others,"when an employee of milpo lima visited the facilities, when he was at level 2900, waiting for the personnel cage to go up to level 4070, drops of water fall from the ceiling from a height of 2.20 meters approximately, product of a slight filtration in the crown (sustained with shotcrete), a drop enters the right eye causing discomfort in the right eye. according to the employee, at the time of the accident the lenses had been removed to clean them, this happened after the visit to the interior of the mine.",17,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85B48>
2016-05-19,country_01,local_03,mining,1,4,male,third party (remote),others,"at the el porvenir sub-station at level 4240, when assembling a metal structure (approximately 120 kg) with the support of a lifting system, three operators try to accommodate the structure to anchor it on its base, at this moment the metallic structure slides in the direction of the injured worker's right hand, producing a slight right hand accretion between the head of the bolt and the base of the structure causing the injury. at the time of the accident the operators made use of their safety gloves.",19,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85AC8>
2016-05-18,country_02,local_05,metals,1,3,male,employee,others,"the employee was performing carbon steel pipe marking activity when his helmet was struck by a tube, causing a scalp wound due to the impact of the helmet's sheepskin.",18,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85A48>
2016-05-22,country_02,local_08,metals,1,3,male,employee,blocking and isolation of energies,"during the maintenance on the lx-p-205b pump, there was the projection of silicate pulp, reaching the right leg of the employee.",22,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A859C8>
2016-05-20,country_01,local_06,metals,1,1,male,third party,fall prevention (same level),"in circumstances that the collaborator juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",20,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85948>
2016-05-22,country_01,local_03,mining,1,4,male,third party,others,"during the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; when passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. at the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.",22,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A858C8>
2016-05-24,country_03,local_10,others,4,4,male,third party,fall,"during field trip, to return to work after lunch, the employee of the wellfield company slipped on the loose stones that were in the place. at that moment, with the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal end of the radius. the activity was paralyzed and the employee was referred to the hospital in paracatu where he underwent medical care.",24,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85848>
2016-05-12,country_01,local_04,mining,1,3,male,employee,others,"being 10:50 am. approximately, in the workshop of mechanical maintenance (surface) mr. orlando of boltec) and his assistant mr. macedonio made the cut of the link to shorten the distance of the chain and hold the injection hose of resin, instant that the saw blade leaves its cutting position, affecting the second finger of the left hand causing the injury.",12,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A857C8>
2016-05-25,country_01,local_04,mining,2,3,male,employee,others,"during the tests of the soft starter of the engine of belt 03 the collaborator igor moves around the site and at approximately 19:45 pm falls into a trench for electric cables, (0.90m deep), the same as was found partially discovered.",25,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85748>
2016-05-27,country_02,local_02,mining,1,5,male,employee,others,"when checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. the protection system acted immediately.",27,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A856C8>
2016-05-25,country_03,local_10,others,1,1,male,third party,bees,"the ground team coordinated by prospector with his assistants: da silva and wila 14:45 p.m., in a prong opening to access and collect soil samples, auxiliar came across some he tried to divert about 10 meters to the right of the place, but at the moment of the diversion he came across the marimbondo house in front of him, not giving time for any other action since the thugs were already agitated, da silva 5 times: a sting in the head, another behind the neck and other 3 stings in the face. since all have allergy tests, it was verified that there was no allergic reaction, washed the affected part and returned to normal activities.",25,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85648>
2016-05-26,country_03,local_10,others,1,1,male,third party,bees,"in the geological reconnaissance activity, in the farm of mr. lázaro, the team composed by felipe and divino de morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the divine realized the opening of the access with machete. at that moment, took a bite from his neck. there were no more attacks, no allergic reaction, and continued work normally. with the work completed, leaving the forest for the same access, the divine assistant was attacked by a snake and suffered a sting in the forehead. at that moment they moved away from the area. it was verified that there was no type of allergic reaction and returned with normal activities.",26,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A855C8>
2016-05-26,country_03,local_10,others,1,1,male,employee,others,"in the geological reconnaissance activity, in the farm of mr. lázaro, the team composed by felipe and divino de morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the divine realized the opening of the access with machete. at that moment, took a bite from his neck. there were no more attacks, no allergic reaction, and continued work normally. with the work completed, leaving the forest for the same access, the divine assistant was attacked by a snake and suffered a sting in the forehead. at that moment they moved away from the area. it was verified that there was no type of allergic reaction and returned with normal activities.",26,5,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85548>
2016-06-01,country_02,local_05,metals,1,3,male,employee,cut,the clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his pvc sleeve caused a cut.,1,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A854C8>
2016-06-02,country_02,local_05,metals,1,3,male,employee,cut,"during the process of washing the material (becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand",2,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85448>
2016-06-03,country_01,local_01,mining,1,2,male,third party,others,"in circumstances that the collaborator performed the cleaning of the ditch 3570, 0.50 cm deep, removing the pipe of 2 ""hdpe material with an estimated weight of 30 kg. together with two collaborators, when pushing the tube to drain the dune, the collaborator is hit on the lower right side lip producing a slight blow to the lip. at the time of the event, the collaborator had a safety helmet, glasses and gloves.",3,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A853C8>
2016-06-04,country_01,local_04,mining,5,5,male,third party,others,"being 01:50 p.m. approximately, in the nv. 1800, in the tecnomin winery. mr. chagua - bodeguero was alone, cutting wires no. 16 with a grinder, previously he had removed the protection guard from the disk of 4 inches in diameter and adapted a disk of a crosscutter of approximately 8 inches. originating traumatic amputation of two fingers of the left hand",4,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85348>
2016-06-03,country_03,local_10,others,2,2,male,third party,others,"during the field trip, on lt 01 of the lajes target, junior da costa official stepped on a wooden stump that was on the ground, approximately 5 cm, which pierced his boot wounding the sole of the right foot. at the time of the accident, the employee was using all the ppe required for the activity and had his hands free. the employee was taken to the hospital, where he went through medical care, and was released to return to his activities the next day of work.",3,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A852C8>
2016-06-05,country_01,local_03,mining,1,3,male,employee,others,"at level 2900, during the ore hauling activity with locomotive from the op2 to the bines, at times when the convoy was traveling through the hopper of the op1, the assistant motorist who was riding in the saddle holding the pole is struck weakly by a split set which was suspended in the hdp pipeline in the gable the work at 1.65 meters from the floor. at the time of the accident, the assistant was wearing all his safety equipment and was wearing a seatbelt. at the time of the accident the split set only accompanied the movement path of the convoy.",5,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85248>
2016-06-05,country_01,local_06,metals,1,1,male,employee,fall prevention,"the employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ele-81-040 (abb furnace cat ladder), immediately he is referred to a collaborator to the medical service to be treated.",5,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A851C8>
2016-06-08,country_01,local_04,mining,1,3,male,third party,others,"at times that the workers: technician and mr. orlando of boltec 2 of cia. wanted to pass the hand stacker by a sardinel, the technician pulled the hydraulic arm, while mr. was pushing from the nail of the equipment, when reaching the trench the rim is tied and the team turns forward falling on the technician.",8,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85148>
2016-06-07,country_01,local_01,mining,1,1,male,employee,others,"in circumstances where the employee made the connection of the electric cable of the no. 08 jumbo, the operator feels discomfort in the face cleaning with the hand while using the rubber glove, generating a superficial laceration (small wound) on the left cheekbone.",7,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A850C8>
2016-06-07,country_01,local_03,mining,1,3,male,third party,others,"in phase iii of the concentrator plant, the maintenance personnel carried out the removal of transmission belt from the flotation cell of pb cleaning; at the moment the mechanic removed the belt he leans on his left leg which slides towards the grating floor, leaving his foot between the two pipes generating the lesion described. the work was carried out at the floor level and at the time of the accident, the staff had put on their safety equipment.",7,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A85048>
2016-06-08,country_01,local_06,metals,4,4,male,employee,fall prevention (same level),at approximately 6:20 p.m. on 08/06/16 the operator eustaquio falls down from the metal platform that gives access to tank d-1021 of the strong acid leaching stage and suffers luxo-fractures in the wrist left when leaning on the floor with his hand. the operator was directed to the first tank of the strong acid leaching stage (tk d-2040) to verify the entry of spent to the taque.,8,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DF48>
2016-06-08,country_03,local_10,others,1,1,male,third party,bees,"project of vazante that carried out sediment collection of current in the south of mata target, in the drainage of serra do garrote. team that was composed of 04 members of the wca company, being the s.r.s leandro, and jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the s.s. and breno), were attacked and consequently they suffered 02 stings, in the belly and jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities.",8,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DEC8>
2016-06-08,country_03,local_10,others,1,1,male,third party,others,"project of vazante that carried out sediment collection of current in the south of mata target, in the drainage of serra do garrote. team that was composed of 04 members of the wca company, being the s.r.s leandro, and jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the s.s. and breno), were attacked and consequently they suffered 02 stings, in the belly and jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities.",8,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DE48>
2016-06-10,country_02,local_05,metals,1,3,male,third party (remote),manual tools,"the employee reports that he was working with brushcutters near the stone when the blade of the equipment collided with a piece of metal that was projected toward his leg, causing injury to his left leg.",10,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DDC8>
2016-06-13,country_01,local_01,mining,1,4,male,employee,others,"once the mooring of the faneles in the detonating cord has been completed, the injured person proceeds to tie the detonating cord in the safety guide (slow wick) at a distance of 2.0 meters from the top of the work. at that moment, to finish mooring, a rock bank (30cm x 50cm x 15cm; 67.5 kg.) the same front, from a height of 1.60 meters, which falls to the floor very close to the injured, disintegrates in several fragments, one of which (12cmx10cmx3cm, 2.0 kg.) slides between the fragments of rock and impacts with the left leg of the victim. at the time of the accident the operator used his safety boots and was accompanied by a supervisor.",13,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DD48>
2016-06-16,country_01,local_03,mining,1,4,male,third party,others,"during the activity of construction of wall stopper with mortar blocks to improve ventilation in the intermediate zone; in moments that the bricklayer assistant was preparing to complete the construction of the 3.05m high wall, part of the wall - 12 blocks; 1.5 kg per block - fall towards the scaffold, so the mason assistant jumps towards an accumulation of sand located on one side to avoid being hit by the blocks, during the fall the injury described occurs. at the time of the accident the mason assistant jumps from a height of 1.40 m from the floor of the work and used his personal safety equipment which reduced the impact of the fall.",16,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DCC8>
2016-06-16,country_03,local_10,others,1,1,male,third party,bees,"the geologo and the auxiliary elismar traveled to evaluate geological points following the gps near some drainage. following the state highway that gives access to the aripuanã area, they stopped and got out of the vehicle to see the point identified in the gps, renato, when distancing himself about seven meters from the vehicle following the road, was surprised by four bites of thorns on his face and neck. quickly he hurried back to the vehicle, moving away from the place. the clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. there was no allergic reaction.",16,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DC48>
2016-06-16,country_03,local_10,others,1,1,male,third party,bees,"geologist and auxiliary ademir traveled to the field to evaluate geological points following the gps near some drainage. following the state highway that gives access to aripuanã area, stopped and got out of the vehicle to see the point identified in the gps, mário, when distancing himself about five meters from the vehicle following the road, was surprised by two bites of thorns on his face. quickly he hurried back to the vehicle, moving away from the place. the clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. there was no allergic reaction.",16,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DBC8>
2016-06-16,country_03,local_10,others,1,1,male,third party,bees,"the safety and technical moved to the field for inspection activity, on the way to the field, paused together with the other two teams in order to know the drainage points to be checked, the safety at getting out of the vehicle, was struck by a sting of a weed in his neck, quickly returned to the vehicle and made radio communication with the other two teams which distanced themselves from the place. the clerk was wearing leggings and glasses. there was no allergic reaction.",16,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DB48>
2016-06-16,country_03,local_10,others,1,1,male,third party,bees,"auxiliary and geologist traveled to the field to evaluate geological points following the gps near some drainage. following the state highway that gives access to aripuanã area, stopped and got out of the vehicle to see the point identified in the gps, ademir, distancing himself about five meters from the vehicle, accompanied by the geologist mario, was surprised by two bites of blows on his neck. quickly he hurried back to the vehicle, moving away from the place. the clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. there was no allergic reaction.",16,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DAC8>
2016-06-18,country_03,local_10,others,1,1,male,employee,bees,"while traveling in the field in order to make geological mapping, the geologist manoel who was accompanied by the prospector marcos stooped to deviate from the vegetation, at that time, received three whistling stings being them, two on the face and one on the neck. there was no allergic reaction and activities followed normally after the event.",18,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9DA48>
2016-06-18,country_03,local_10,others,1,1,male,third party,bees,"when moving in the field to make geological mapping, the prospector marcos who was accompanied by the geologist manoel stooped to deviate from the vegetation, at that moment, received a whistling sting in the ring finger of his right hand. there was no allergic reaction and activities followed normally after the event.",18,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D9C8>
2016-06-17,country_02,local_08,metals,4,5,male,employee,"
not applicable","at approximately 5:45 pm, the operator paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. the autoclave iii feed was stopped by the control and officials georli and renato initiated the procedures for closing the autoclave transfer valve for flash tqs. soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",17,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D948>
2016-06-19,country_01,local_03,mining,4,4,male,third party,others,"the operator of the scissor 187 leaves his equipment parked at level -2995 acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem; then in coordination with the mechanic decide to perform the test with the diesel system, moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand's atricion against the support of the pivot tube generating the lesion described. at the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",19,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D8C8>
2016-06-21,country_01,local_01,mining,1,3,male,third party,others,"when the mechanical technician proceeded to perform the maintenance of motor supports of a tipper, he decided to bring a wooden block, for which he moved to the temporary storage of materials - located at 10 m. of the tipper - in circumstances in which he sought the cue; the camera of a tire burst suddenly (it was on the right and 2 m. of the involved); the thunderous sound affected the right ear of the worker. the tire that exploded has 110 psi of pressure approximately, at the time of the event they were stacked 3 pneumatic, the second was the one that exploded (presented cut - place where the energy was released). the tire that was in the upper part was not projected. the tires were left by the previous guard (night shift), the storage area does not have a roof. in the place of the event only the affected mechanic was located (at 2m.) and at a distance of 70m. there were other workers. in the area 5 trucks were parked, none of them suffered damage to the glass.",21,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D848>
2016-06-22,country_01,local_03,mining,1,3,male,third party (remote),others,"in level 2930 access siemag camera roof, at times when the piquero civil operator looked for a stilson key of 12 ""inside its metal tool box, open the metal lid (1m x 0.6m x 0.7m; 5 kg of weight) with both hands, then push the lid backwards positioning your right hand near the base of the lid causing an incentration of your fifth finger between the lid and the structure of the box at the height of the hinge. at the time of the accident, the employee wore pad gloves, which reduced the consequence of the injury.",22,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D7C8>
2016-06-23,country_02,local_08,metals,1,2,male,employee,manual tools,"when handling a lever to move the sludge, the employee moved it by making a pendulum movement and striking his chin.",23,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D748>
2016-06-24,country_01,local_01,mining,1,3,male,third party,others,"during the change of rim position 1 of the jumbo ° 15, at moments that the mechanical technician with the support of the electrician disengaged the bolts, when loosening the fourth nut with the help of a lever (metal tube 1 ""diameter, 1.8m of length and a weight of 5.5 kg), this bouncing effect returning to the initial position hitting in the palm of the left hand the electrician technician causing the injury. the employees at the time of the accident used their ppe's including leather gloves.",24,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D6C8>
2016-06-24,country_01,local_01,mining,1,4,male,third party,others,"in circumstances in which the operator of the scooptram proceeded to sit on his equipment, when closing the door he takes his right hand off the handrail and places it close to the door hinge, which when closing traps part of the worker's middle finger . the worker at the time of the accident made use of leather safety gloves.",24,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D648>
2016-06-29,country_01,local_01,mining,1,4,male,employee,others,"in plant while doing work on geho pump reducer n ° 1, when accompanying the rotation of the shaft of the reducer with a mixed key of 7/16 "", the wrench crown hits against the housing of the geho pump attributing the union area of ​​the fifth and fourth fingers of the welder's right hand causing the injury. at the time of the accident the equipment was blocked and the employee used his leather gloves.",29,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D5C8>
2016-07-02,country_01,local_03,mining,5,5,male,third party,others,"in access 2 of level 3910, during the installation activity of hydraulic filling pipes of 4 ""diameter, when installing a section 80 m to a height of 5.6 m with reference to the floor, the master of hydraulic filling - accident - and his partner suffers an attrition of the right hand between the upper edge of the scoop lamp and the roof of the work generating the injury. at the time of the accident the employee used his rubber gloves.",2,7,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D548>
2016-07-04,country_01,local_06,metals,3,4,male,third party,pressed,"at 11:00 a.m., mr. frank with the support of another mechanic, was preparing to place on the floor a metal part called the rear bridge of the forklift. at that moment the part moving part moves generating a blow to the middle finger of the left hand",4,7,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D4C8>
2016-06-24,country_01,local_03,mining,1,2,male,third party,others,"at level 3490 gallery 447, after performing the manual unlocking on load, the worker prepares to cut the sacrificial mesh that was exposed after the previous turn shot, placing himself under it with a 12-inch shear, when cutting the fifth suddenly strained wire of the mesh returns to his face casionándole the injury described. during the activity the worker used his safety glasses.",24,6,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D448>
2016-07-08,country_01,local_01,mining,1,2,male,employee,others,"in circumstances in which the adjutant of the scissor bolter came down by the team's ladder - last step - it slides from an approximate height of 0.9 m. and falls sitting on the floor. at the time of the accident, the person involved in the use of the helmet; there were no rocks or materials in the crash site.",8,7,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D3C8>
2016-07-07,country_01,local_03,mining,4,5,male,third party,others,"at moments when the maperu truck of plate f1t 878, returned from the city of pasco to the unit transporting a consultant, being 350 meters from the main gate his lane is invaded by a civilian vehicle, making the driver turn sharply to the side right where was staff of the company impromec doing hot melt work in an 8 ""pipe impacting two collaborators causing the injuries described at the time of the accident the truck was traveling at 37km / h - according to inthinc -, the width of the road is of 6 meters, the activity had safety cones as a warning on both sides of the road and employees used their respective epp's.",7,7,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D348>
2016-07-07,country_01,local_03,mining,1,4,male,third party,others,"at moments when the maperu truck of plate f1t 878, returned from the city of pasco to the unit transporting a consultant, being 350 meters from the main gate his lane is invaded by a civilian vehicle, making the driver turn sharply to the side right where was staff of the company impromec doing hot melt work in an 8 ""pipe impacting two collaborators causing the injuries described at the time of the accident the truck was traveling at 37km / h - according to inthinc -, the width of the road is of 6 meters, the activity had safety cones as a warning on both sides of the road and employees used their respective epp's.",7,7,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D2C8>
2016-07-08,country_01,local_06,metals,3,4,male,third party,manual tools,"being 10:25 h approx. hours the operator fernando during the opening of wagons, finds a hardened stake and uses a bar of approx. 1.5m to remove it. at that moment he presses the bar and hits his hand.",8,7,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A9D248>
